"common_name","scientific_name","coords.x1","coords.x2"
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
"Albacore Tuna","Thunnus alalunga",17.1174,-29.9335
